ilan_id,id,Aciklama_Yetenek_Eslesme_Sayisi,Aciklama_Yetenek_Eslesen_Kelimeler,Aciklama_Dil_Eslesme_Sayisi,Aciklama_Dil_Eslesen_Kelimeler,Konum_Eslesme_Sayisi,Konum_Eslesen_Kelimeler,Egitim_Eslesme_Sayisi,Egitim_Eslesen_Kelimeler,Deneyim_Eslesme
1,1,0,,1,i̇ngilizce,1,i̇stanbul,1,lisans,1
1,2,3,"iş, kalite, güvenliği",1,i̇ngilizce,1,i̇stanbul,1,lisans,1
1,3,0,,1,i̇ngilizce,1,i̇stanbul,0,,0
1,4,0,,1,i̇ngilizce,1,i̇stanbul,1,lisans,1
1,5,0,,1,i̇ngilizce,0,,0,,0
1,6,0,,0,,0,,1,lisans,1
1,7,0,,0,,0,,1,lisans,1
1,12,0,,0,,0,,1,lisans,1
1,13,0,,0,,1,i̇stanbul,0,,1
1,14,0,,0,,1,i̇stanbul,1,lisans,1
1,15,0,,0,,1,i̇stanbul,1,lisans,0
1,16,0,,0,,1,i̇stanbul,0,,0
1,8,0,,0,,0,,1,lisans,1
1,11,0,,1,i̇ngilizce,0,,1,lisans,1
1,12,0,,1,i̇ngilizce,1,i̇stanbul,1,lisans,0
2,1,0,,1,i̇ngilizce,0,,0,,0
2,2,0,,1,i̇ngilizce,0,,0,,1
2,3,3,"office, iletişim, ms",1,i̇ngilizce,0,,1,lise,1
2,4,0,,1,i̇ngilizce,0,,0,,0
2,5,0,,1,i̇ngilizce,1,aydın,0,,0
2,6,1,iletişim,0,,0,,0,,1
2,7,0,,0,,0,,0,,1
2,12,0,,0,,0,,0,,0
2,13,0,,0,,0,,0,,1
2,14,0,,0,,0,,0,,0
2,15,0,,0,,0,,0,,0
2,16,0,,0,,0,,0,,0
2,8,0,,0,,0,,0,,1
2,11,0,,1,i̇ngilizce,0,,0,,0
2,12,0,,1,i̇ngilizce,0,,0,,0
3,1,2,"java, veri",1,i̇ngilizce,1,i̇stanbul,1,lisans,1
3,2,1,iş,1,i̇ngilizce,1,i̇stanbul,1,lisans,0
3,3,1,iletişim,1,i̇ngilizce,1,i̇stanbul,0,,0
3,4,8,"yazılım, bilgisayar, oracle, problem, cyberark, çözme, veritabanları, java",1,i̇ngilizce,1,i̇stanbul,1,lisans,1
3,5,2,"java, oracle",1,i̇ngilizce,0,,1,lisansüstü,0
3,6,1,iletişim,0,,0,,1,lisans,0
3,7,1,bilgisi,0,,0,,1,lisans,0
3,12,2,"java, oracle",0,,0,,1,lisans,1
3,13,2,"java, oracle",0,,1,i̇stanbul,1,lisansüstü,0
3,14,1,oracle,0,,1,i̇stanbul,1,lisans,1
3,15,2,"java, oracle",0,,1,i̇stanbul,1,lisans,0
3,16,1,oracle,0,,1,i̇stanbul,0,,0
3,8,0,,0,,0,,1,lisans,0
3,11,0,,1,i̇ngilizce,0,,1,lisans,1
3,12,2,"java, oracle",1,i̇ngilizce,1,i̇stanbul,1,lisans,0
4,1,0,,0,,1,i̇stanbul,1,lisans,1
4,2,0,,0,,1,i̇stanbul,1,lisans,1
4,3,0,,0,,1,i̇stanbul,0,,1
4,4,0,,0,,1,i̇stanbul,1,lisans,1
4,5,0,,0,,0,,0,,1
4,6,0,,0,,0,,1,lisans,1
4,7,0,,0,,0,,1,lisans,1
4,12,0,,0,,0,,1,lisans,1
4,13,0,,0,,1,i̇stanbul,0,,1
4,14,0,,0,,1,i̇stanbul,1,lisans,1
4,15,0,,0,,1,i̇stanbul,1,lisans,1
4,16,0,,0,,1,i̇stanbul,0,,1
4,8,0,,0,,0,,1,lisans,1
4,11,0,,0,,0,,1,lisans,1
4,12,0,,0,,1,i̇stanbul,1,lisans,1
5,1,0,,1,i̇ngilizce,1,i̇stanbul,1,lisans,0
5,2,2,"iş, kalite",1,i̇ngilizce,1,i̇stanbul,1,lisans,0
5,3,3,"office, iletişim, ms",1,i̇ngilizce,1,i̇stanbul,0,,0
5,4,2,"çözme, problem",1,i̇ngilizce,1,i̇stanbul,1,lisans,1
5,5,0,,1,i̇ngilizce,0,,1,lisansüstü,0
5,6,2,"iletişim, ilişkileri",0,,0,,1,lisans,0
5,7,0,,0,,0,,1,lisans,0
5,12,0,,0,,0,,1,lisans,1
5,13,0,,0,,1,i̇stanbul,1,lisansüstü,0
5,14,0,,0,,1,i̇stanbul,1,lisans,0
5,15,0,,0,,1,i̇stanbul,1,lisans,1
5,16,0,,0,,1,i̇stanbul,0,,1
5,8,0,,0,,0,,1,lisans,0
5,11,0,,1,i̇ngilizce,0,,1,lisans,1
5,12,0,,1,i̇ngilizce,1,i̇stanbul,1,lisans,1
6,1,0,,1,i̇ngilizce,0,,1,lisans,1
6,2,0,,1,i̇ngilizce,0,,1,lisans,1
6,3,3,"office, iletişim, ms",1,i̇ngilizce,0,,0,,1
6,4,1,yazılım,1,i̇ngilizce,0,,1,lisans,1
6,5,0,,1,i̇ngilizce,0,,0,,1
6,6,1,iletişim,0,,0,,1,lisans,1
6,7,0,,0,,0,,1,lisans,1
6,12,0,,0,,0,,1,lisans,1
6,13,0,,0,,0,,0,,1
