"Ilan_id","SirketAdi","Sektor","Konum","Aciklama","Pozisyon","Deneyim","Egitim","CalismaSekli","Sifre"
"1","GENBA TEKNİK SERVİS MÜH.TAAH.İTH.İHR.SAN TİCLTDŞTİ","Isıtma, Havalandırma ve Klima","İstanbul    ","
Genba Teknik Servis Ltd. Şirketi'nin yurt içinde hızla büyümekte olan hizmet sahalarında rüzgar türbini montaj, bakım ve onarım hizmetlerinde çalıştırılmak üzere aşağıdaki özelliklere sahip teknisyenler aranmaktadır.


Minimum sahada 2 yıl bakım ve montaj deneyimi,Tercihen iyi derecede İngilizce lisanına sahip olunması,Yurt içi ve yurt dışı seyahat engeli olmaması,Kalite, iş ve iş güvenliği konularında bilgili ve bu konularda hassasiyet sahibi,Fiilen sahada çalışabilecek

","Mekanik Bakım Teknisyenleri ","2 - 5 yıl arası"," Lisans ","Tam Zamanlı","1234"
"2","CLC World Resorts","Turizm","Aydın","CLC World Resorts Hotels, Apollonıum Beach ve amp merkezli bir Topluluğu yönetmek için deneyimli bir Topluluk Yöneticisi arıyor; Spa Tatil Köyü,
· Yazılı ve sözlü İngilizce İleri Düzey
· İş konusunda eğitimli olmak
· MS Office uygulamalarına hakim olmak.
· Güçlü müzakere, iletişim, raporlama ve planlama becerileri.
· Erkek adaylar için askerlik hizmetini tamamlamış olmak;
· Tercihen Didim'de yaşıyor olmak veya Didim'de yaşamak için taşınabiliyor olmak
· Tercihen aktif sürücü belgesi","Resepsiyonist","1 - 2 yıl arası","Lise ","Tam Zamanlı","1234"
"3","Deloitte","Bilişim","İstanbul ","Deloitte, birden fazla sektöre yayılan kamu ve özel sektör müşterilerine denetim, vergi, danışmanlık, risk danışmanlığı ve finansal danışmanlık hizmetleri sunmaktadır. 150'den fazla ülke ve bölgede küresel olarak bağlantılı bir üye firma ağıyla Deloitte, müşterilerine birinci sınıf yetenekler ve yüksek kaliteli hizmet sunarak en karmaşık iş zorluklarını ele almak için ihtiyaç duydukları içgörüleri sunar. Deloitte'un 260.000'den fazla profesyoneli, mükemmellik standardı olmaya kendini adamıştır.
Deloitte'un etki yaratmak için 4 değeri vardır. Bunlar; Müşterilerimiz için olağanüstü değer, birbirimize bağlılık, kültürel çeşitlilik ve bütünlükten gelen güç.
Nitelik:

Bilgisayar bilimi derecesi veya gerçek bir tutku, yazılım geliştirmede ilgili deneyim, İlgili alanlarda 3-5  yıl deneyim, Hem yazılı hem de sözlü olarak iyi derecede İngilizce bilgisi, Oracle, IBM, CA, SailPoint, RSA ve Aveksa, ForgeRock, Okta, Dell ve Quest, PingIdentity, CyberArk gibi özel IAM çözümlerini veya paket çözümleri uygulama deneyimi, İlişkisel veritabanları, LDAP, Active Directory ile çalışma deneyimi,  Java ve Hibernate, Endüstri tarafından benimsenen güvenlik sertifikası (örneğin CISSP) bir artıdır, Bilginin paylaşımını kolaylaştıran ve gurur duyan takım oyuncusu, Problem çözme ortamında yaratıcı ve analitik çalışabilme becerisi,
Bilgi sistemleri ortamında çalışma arzusu, Mükemmel iletişim (yazılı ve sözlü) ve kişilerarası,Amaç ve değerlerimizi belirler, benimser ve bunları profesyonel yaşamlarında uygulamaya koyar,Akranlarını ve diğer paydaşları olumlu yönde etkilemek için ilişkiler kurar ve etkili iletişim kurar.

Müşterilerimizin iş performansını yeni seviyelere taşımalarına yardımcı olmak için bu becerileri derin endüstri bilgisiyle birleştiren yetenekli meslektaşlardan oluşan bir ekiple çalışacaksınız.
Roller ve amp; Sorumluluk:
Şu anda genişleyen kimliğimizin bir parçası olacak yeni ekip arkadaşları arıyoruz ve amp; Erişim yönetimi ekibi. Ekibimiz sistem tasarımı, uygulaması ve amp; On-premise Identity Governance ve AMP ile entegrasyon; yönetim, veri erişim yönetişimi ve ayrıcalıklı hesap yönetim sistemleri. Müşterilerimizin ihtiyaçlarını karşılamak için yeni ittifaklar geliştirmeye, işimizi büyütmeye ve yeni ve başarılı çözümler sunmaya kararlıyız.
Şu anda siber risk ekibimiz için Identity ve amp hakkında bilgi sahibi kıdemli danışmanlar arıyoruz; SailPoint, Oracle, CA ve diğerleri gibi Erişim Yönetimi ürünleri. Teknik deneyim, varlıklar, kimlik federasyonu, mobil erişim için sağlama akışları ve bağdaştırıcıları tasarlamayı ve geliştirmeyi, web uygulamalarına Rol Tabanlı Erişim Denetimi (RBAC) yetkilendirmeleri geliştirmeyi, rol çözümlemesini uygulamayı, rol madenciliğini ve rol yönetimi kullanıcı arabirimlerini içermelidir.","Siber Yönetim Kıdemli Danışmanı","3 - 5 years of experience","Lisans   Lisansüstü","Full-Time","1234"
"4","Arev Eğitim ve Kültür Hizmetleri AŞ.","Eğitim","İstanbul ","
İlanımız tam zamanlı pozisyonlar için, bir GENEL BAŞVURU ilanıdır.
Başvurular, AREV OKULLARI Beylikdüzü kampüsü bünyesinde oluşabilecek tüm pozisyonlar için değerlendirmeye alınacak ve kariyerinize uygun olması halinde sizinle temas kurulacaktır.
Şirketimize gösterdiğiniz ilgiye teşekkür ederiz.
Not: İlgilendiğiniz pozisyonu önyazı da belirtmenizi rica ederiz.firma isminde sizin firma bilginiz yer alacaktır. 
","Genel Başvuru","Tecrübeli ve Tecrübesiz"," Lisans ","Tam Zamanlı","1234"
"5","Yıldız Holding","Gıda","İstanbul ","Yıldız Holding iştirakleri genelinde proje yönetim sürecinin etkin bir şekilde yürütülmesinden sorumludur. Proje proje yönetim sürecinin iyileştirilmesi ve tüm organizasyonda süreç değişikliklerinin denetlenmesi. Projelerle ilgili yönetici iletişimlerinin ele alınması (kapı onayları, duyurular, risk notları vb.)Proje kapısı onaylarını denetlemek ve dijital dönüşümün kalite standartlarını sağlamak. En iyi uygulamaları belirleyerek PMO yönetişimini denetlemek. Dijital projelerle ilgili RFP'lerin ve teknik sözleşmelerin kalite standartlarının sağlanması. Proje yönetimi ile ilgili iş akışı aracı entegrasyonlarının yönetilmesi. Başlangıçtan kapanışa kadar tüm proje yaşam döngüsü boyunca Projeleri Yönetme/İzleme. Kapsam, İletişim, Maliyetlendirme, Riskler, Kaynaklar, Tedarik ve Satıcı yönetimini yönetme. Hem iç hem de dış proje paydaşları ile ilişkileri yönetmek ve sürdürmekProje programları oluşturun ve projelerin ilerlemesini izleyin. Çıktıların izlenmesi ve kabulü

NİTELİK:

Saygın üniversitelerden lisans derecesi; Yüksek lisans derecesi ek bir varlıktır, BT proje yönetiminde en az 4  yıl deneyim. PMP sertifikası bir varlıktır. RFP/Sözleşme Oluşturma, PPM Araçları, İş Akışı tasarımı konularında deneyim varlıklardır. Çok iyi derecede İngilizce bilen, Problem çözme ve analitik düşünme becerisi, Etkili iletişim becerileri, Çok çeşitli kurum içi ve kurum dışı ekiplerle yakın çalışarak çeşitli örgütler arası projeleri (kapsam, paydaşlar, istenen sonuçlar) yönetme becerisi, MS Office uygulamalarına hakimiyet, Erkek adaylar için askerlik yükümlülüğü yok

","Bilgi Teknolojileri Proje Yöneticisi","More than 4 years of experience","Lisans   Lisansüstü","Full-Time","1234"
"6","Memak Plastik Gıda Makina San.Tic.A.Ş.","Üretim ve Endüstriyel Ürünler","Konya","Üniversitelerin Elektrik /Elektrik - Elektronik Mühendisliği bölümlerinden mezun,

PLC yazılım yapabilecek ve bu konuda en az 2 yıl tecrübeli,

Tercihen Mitsubishi PLC bilgisine sahip,

Analitik düşünme ve iletişim becerileri konusunda gerekli yeterliliğe sahip,

MS Office uygulamalarında ileri derecede bilgiye sahip olan,

Yurt dışına seyehat engeli olmayan,

Konya'da ikamet eden veya edebilecek olan,

Tercihen İngilizce bilgisine sahip,

Erkek adaylar için askerlik hizmetini tamamlamış,

takım arkadaşları arıyoruz.
İŞ TANIMI


İmalatı yapılan makinelerin otomasyon işlerinin koordine edilmesi,

 PLC yazılımlarının yapılması,

Kuruluma gönderilen makinelerin kurulumunun ve devreye alınmasının yapılması.","Elektrik Elektronik Mühendisi","En az 2 yıl tecrübeli","  Lisans","Tam Zamanlı","1234"
"7","Çetin Teknoloji Ltd. Şti","Pazarlama","İstanbul ",". Sosyal medya trendlerine hakim  az 2 yıl dijital ajans tecrübesi olan ya da firmalarda ilgili alanlarda çalışmış,
. İngilizce bilen,
. İçerik pazarlama konusunda bilgi sahibi,
.Web ve mobil trendlerini bilen ve takip eden,
. Google Analytics konusuna hakim, Web sitesi ve sosyal medya kanallarına raporlama ve yorumlama yeteğine sahip,
. SEO, SEM, Google Adwords ve Facebook reklamları ile diğer dijital reklam kanallarında bilgi sahibi,
. Erkek adaylar için askerlik hizmetini bitirmiş olan personeller alınacaktır.
İŞ TANIMI
. Dijital gelişmelere hakim olup, dijital pazarlama metodolojilerinin takip edebilmesi,
. Web sitesi  ve  mobil platform ihtiyaçları,seo, sem, sosyal medya ve reklam konularında bilgi sahibi olunması,
. Her konunun ihtiyacına göre konunun ilgilisi ile birlikte sürecin yönetilmesi,
. Dijital reklam, kampanya ve aksiyon dönüşümlerinin izlenmesi ve ajansa geri dönüş yaparak iyileştirme önerilerinde bulunulması,
","Deneyimli Dijital Pazarlama Uzmanı","2 - 25 yıl arası"," Lisans ","Tam Zamanlı","1234"
"8","","Bilişim","İstanbul ","
Şirketimizin Operasyon ve Müşteri Hizmetleri Birimi' nin İşletim Kontrol ekibinde görevlendirilmek üzere;

Ön lisans veya üniversitelerin ilgili bölümlerinden mezun (Bilgisayar Programcılığı, Bilgisayar Mühendisliği, Elektrik Elektronik Mühendisliği vb.)Tercihen Mainframe ve JCL bilgisi olanSorumluluk sahibi Ekip çalışmasına önem veren Etkin iletişim becerilerine sahip, ekip çalışması ve problem çözme konularında yetkin Vardiyalı çalışma saatlerine uyum sağlayabilecek Erkek adaylar için askerlik hizmetini tamamlamış
çalışma arkadaşları aramaktayız.
İŞ TANIMI:
İşletim kontrol ekibi, Garanti Teknoloji bünyesinde 7/24 vardiyalı çalışarak, Mainframe üzerindeki alarmların izlenmesi, Scheduler , kartuş, batch, gün sonu ve kritik pathlerin izlenerek sorun halinde 1.seviye müdahale edilmesi görevlerini yerine getirir. Mainframe ortamındaki backup operasyonunu yürütür, ortamlar arası data taşıma, manuel dosya transferi ve standart işletim prosedürleri ile kendilerine devir edilmiş işlemleri yapar.
","Operasyon Destek Uzmanı","En az 1 yıl tecrübeli"," Lisans ","Tam Zamanlı","1234"
"9","Gülba Tekstil İnş.Maden Tur.Gıda San. ve Tic. Şti.","Moda","İzmir","KASABA 24  yıl tecrübesi ile İzmir’de büyümeye ve gelişmeye devam ediyor.Mavi, Levi's, Quiksilver, Greyder, Lumberjack, Merrell, Dockers, Billabong, Reef gibi ulusal ve global markaları çatısı altında toplayan KASABA, çok seçenekli alışveriş konseptiyle;• Kasaba Jeans Gallery• Kasaba Shoes Gallery• Kasaba Sports Wear Gallery• Kasaba Mavi Mağazalarıolmak üzere, farklı beğenilere seslenen mağazalarıyla müşterilerine kalite, şıklık ve moda sunmaktadır. 35 farklı mağazası ve birbirinden güçlü markaları ile güvenilir ve emin adımlarla sektöründe lider bir marka olma vizyonu ile ilerleyen KASABA, kendisi ile aynı hedefe koşacak Mağaza Müdür ve Müdür Yardımcılarını arıyor.. Eğer siz de bu hedefin bir parçası olmak istiyorsanız başvurularınızı bekliyoruz.. En az lise, tercihen MYO veya  Lisans mezunu, Perakende sektöründe 5 yıl deneyimli, minimum 1  yıl yöneticilik deneyimi olan,MS Office programlarını etkin bir şekilde kullanabilen, Tercihen Nebim V3 program bilgisi olan, Planlama ve organizasyon becerisi gelişmiş, Pozitif, güler yüzlü, ikna kabiliyeti yüksek, Etkili iletişim kurabilen, Kendisinin ve ekibinin performansını takip etmede başarılı ve gelişmeyi ilke edinmiş,Yoğun iş temposuna ve esnek çalışma saatlerine uyum sağlayacak, Erkek adaylar askerliğini tamamlamış, İzmir’de ikamet eden veya edebilecek olan. İŞ TANIMIMağaza cirosunu ve müşteri portföyünü artıracak tüm faaliyetleri yürütmek, Ürün yönetimi, görsel düzen, depo yönetimi gibi tüm mağaza operasyonlarını yürütmek,Mağaza performansı ve verimlilik ilkeleri doğrultusunda ekibin çalışma düzenini yönetmek,Mağaza stoklarını etkin bir şekilde yönetmek, Şirket planları doğrultusunda günlük, haftalık veya aylık toplantılar düzenleyerek gelişim alanları belirlemek ve aksiyon alarak gelişimi gerçekleştirmek,Mağazanın tüm masraflarını bütçe doğrultusunda kontrol etmek ve yönetmek, Çalışan bağlılığı, kariyer yönetimi, eğitim planlamaları süreçlerinde insan kaynakları departmanı ile birlikte hareket etmek ve aktif rol almak,Mağaza içerisinde müşteri, ürün veya çalışan konularında planlı ve planlanacak raporlamaları zamanında ve eksiksiz yapmak,Mağaza gelişim alanları ile ilgili tespit ettiği noktalarda ilgili birimlere geri bildirimlerde bulunmak.","Mağaza Müdür ve Yardımcısı","En az 2 yıl tecrübeli","Lise ","Tam Zamanlı","1234"
"10","VATAN BİLGİSAYAR SAN VE TİC.A.Ş.","Bilişim","Muğla","
Teknoloji Perakendeciliğinin Öncü Firması Vatan Bilgisayar'ın Muğla-Merkez  Mağazası için değerlendirilmek üzere
Sevkiyat Şoförü poziyonu için takım arkadaşları aramaktayız;


En az İlkokul mezunu,Sürücü Ehliyeti Olan ( SRC 2-4 ve Psikoteknik Belgesine sahip ),Şehir dışı seyahat engeli olmayan,Düzenli, titiz ve organizasyon becerisi olan,Genç, Dinamik ve Enerjik,Ekip çalışmasına yatkın,Perakende Mağazacılık ve Teknoloji sektörlerinde kariyer hedefleyen,

İŞ TANIMI


Depolardaki ürünlerin düzenli olarak istiflenmesini sağlar.Teslim alınan ürünleri belirlenen zamanda, güvenliği sağlanmış bir şekilde ilgili mağaza ve reyonlara iletir.Depodan reyona çıkacak ürünlerin hazırlanmasını sağlar,

SRC 2-4 ve Psikoteknik belgesi olmayan adaylar değerlendirilmeyecektir
","SEVKİYAT ŞOFÖRÜ ","Tecrübeli ve Tecrübesiz","Lise ","Tam Zamanlı","1234"
